row_id,date,customer_request,agent_reply,intent_truth,intent,confidence
145,2024-03-08,Haben Sie die HP-150 schon verschickt? Hab nix gehört.,"Guten Tag. Gerne prüfen wir den Versandstatus Ihrer HP-150. Bitte lassen Sie uns dazu Ihre Bestellnummer oder die Artikelnummer zukommen, damit wir den Vorgang in unserem System lokalisieren können.",Lieferstatus,Lieferstatus,1
146,2024-03-08,SCS-100 Wartung. Was ist der Plan? Schicken Sie mal rüber.,"Guten Tag, für die Erstellung eines passenden Wartungsplans für Ihre SCS-100 benötigen wir bitte die Seriennummer sowie die aktuelle Softwareversion der Steuerung. Nach Erhalt dieser Daten senden wir Ihnen die Intervalle und die Checkliste zu.",Wartung,Wartung,1
147,2024-03-10,"Hallo, ich habe eine Anfrage zum Lieferstatus einer Maschine. Kann mir jemand sagen, wann die geliefert wird?","Guten Tag. Gerne helfen wir Ihnen weiter. Damit wir den Status prüfen können, benötigen wir bitte Informationen zum betreffenden Gerät, wie die Modellbezeichnung (z.B. DM-500 oder SNU-200) sowie die Bestellnummer oder Seriennummer.",Lieferstatus,Lieferstatus,1
148,2024-03-10,Technisches Problem mit SNU-200. Hydraulik meldet Druck zu hoch. Artikelnummer 8829-X. Bitte um Hilfe.,"Guten Tag. Vielen Dank für die Angabe der Artikelnummer. Bei einer Meldung über zu hohen Hydraulikdruck an der SNU-200 empfehlen wir, das Druckbegrenzungsventil auf seine Funktion zu prüfen und die Einstellungen gemäß dem Handbuch im Downloadbereich abzugleichen. Bitte teilen Sie uns zur weiteren Analyse noch die Seriennummer der Einheit mit.",Technische Fehlermeldung,Technische Fehlermeldung,1
149,2024-03-10,"Die Software der SCS-100 ist eine Katastrophe. Sobald wir ein DXF laden, geht der Rechner in die Knie. Wir brauchen dringend eine stabilere Version. Artikel 11-22-33.","Guten Tag. Es tut uns leid, dass die Software die gewünschte Stabilität nicht bietet. Bitte prüfen Sie vorab, ob die DXF-Dateien eventuell unnötige Metadaten oder extrem hohe Auflösungen enthalten, die den Speicher überfordern. Für eine technische Überprüfung benötigen wir bitte die Seriennummer Ihres SCS-100 Systems.",Software-Problem,Software-Problem,1
150,2024-03-11,Lieferung steht aus. Maschine HP-150 (Bestellnr 44502). Bitte Info!,"Guten Tag, vielen Dank für Ihre Nachricht. Ich habe die Bestellung 44502 geprüft. Die HP-150 wurde bereits für den Speditionsversand vorbereitet und wird voraussichtlich morgen früh verladen. Die Versandbestätigung inklusive Sendungsverfolgungsnummer erhalten Sie nach der Verladung per E-Mail.",Lieferstatus,Lieferstatus,1
151,2024-03-11,"SCS-100 zeigt Übertemperatur an. Hab alles gereinigt, hilft nix.","Guten Tag. Wenn eine Reinigung der Lüftungsschlitze keine Besserung bringt, liegt möglicherweise ein Problem mit dem internen Kühlsystem vor. Bitte lassen Sie uns die Seriennummer der SCS-100 sowie den genauen Temperaturwert zukommen, der im Display angezeigt wird.",Technische Fehlermeldung,Technische Fehlermeldung,1
152,2024-03-11,"Sehr geehrte Damen und Herren, leider weist unsere CNCF-500 seit heute Morgen einen Defekt am Spindeltrieb auf. Da die Maschine erst vor sechs Monaten geliefert wurde, gehe ich von einem Garantiefall aus. Wie ist das weitere Vorgehen?","Guten Tag. Es tut uns leid zu hören, dass die CNCF-500 Probleme bereitet. Um den Garantieestatus und die technische Ursache prüfen zu können, benötigen wir bitte die Seriennummer der Maschine sowie eine kurze Beschreibung der Fehlermeldung oder des Geräuschs. Sobald uns diese Daten vorliegen, leiten wir die Prüfung durch unsere Technik-Abteilung ein.",Garantie-Reklamation,Garantie-Reklamation,1
153,2024-03-11,Wir haben Probleme mit der CNCF-500 (Seriennummer: CF500-1122). Die Kühlmittelpumpe scheint defekt zu sein. Wie sieht der Prozess für eine Garantieleistung aus?,"Guten Tag, vielen Dank für Ihre Anfrage. Bitte lassen Sie uns eine kurze Beschreibung des Fehlers an der Kühlmittelpumpe zukommen. Nach der technischen Prüfung der Seriennummer CF500-1122 werden wir Sie über die weiteren Schritte zur Instandsetzung im Rahmen der Garantie informieren.",Garantie-Reklamation,Garantie-Reklamation,1
154,2024-03-12,Maschine FSL-300 kaputt. Geht das auf Garantie?,"Guten Tag. Um Ihre Anfrage bearbeiten zu können, benötigen wir bitte die Seriennummer der FSL-300 sowie eine kurze Beschreibung des Defekts. Ohne diese Angaben können wir keine Prüfung des Garantieanspruchs vornehmen.",Garantie-Reklamation,Garantie-Reklamation,1
155,2024-03-13,Wo bleibt die FSL-300? Bestellt vor 3 Wochen. Nichts gehört.,"Guten Tag. Es tut mir leid, dass Sie bisher keine Informationen zu Ihrer FSL-300 erhalten haben. Bitte teilen Sie mir Ihre Bestellnummer mit, damit ich den aktuellen Status der Lieferung umgehend für Sie klären kann.",Lieferstatus,Lieferstatus,1
156,2024-03-13,"Hallo, ich habe bisher keine Versandbestätigung für die FSL-300 bekommen (Art.-Nr. 4450-X). Ist das Gerät schon raus?","Guten Tag. Wir prüfen gerne den Versandstatus Ihrer FSL-300. Bitte lassen Sie uns hierfür Ihre Bestellnummer zukommen, damit wir den Status der Packliste und den Übergabepunkt an den Spediteur verifizieren können.",Lieferstatus,Lieferstatus,1
157,2024-03-13,"Hallo, wir haben hier eine FSL-300 stehen. Die Hydraulikpumpe macht Geräusche. Können wir die bei euch bestellen? Bitte um Info zu Preis und Lieferzeit. Danke.","Guten Tag, vielen Dank für Ihre Nachricht. Gerne prüfen wir die Verfügbarkeit der passenden Hydraulikpumpe für Ihre FSL-300. Damit wir das exakte Bauteil identifizieren können, senden Sie uns bitte die vollständige Seriennummer der Maschine zu. Wir erstellen Ihnen dann umgehend ein Angebot inklusive der voraussichtlichen Lieferzeit.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
158,2024-03-14,"Moin, die SNU-200 zeigt ständig 'Sensor Error 04' an. Hab das schon mal neu gestartet, hilft aber nix. Schick mal Hilfe.","Hallo. Ein Neustart ist ein guter erster Schritt. Bitte prüfen Sie, ob der betroffene Sensor mechanisch verschmutzt oder beschädigt ist. Für eine detaillierte Fehleranalyse benötigen wir bitte die vollständige Seriennummer der SNU-200 sowie die aktuelle Softwareversion des Steuerungsmoduls.",Technische Fehlermeldung,Technische Fehlermeldung,1
159,2024-03-15,Wo bleibt die FSL-300? Keine Mail bekommen dazu.,"Guten Tag. Um den Verbleib der FSL-300 prüfen zu können, benötige ich bitte Ihre Bestellnummer oder die entsprechende Auftragsnummer. Sobald uns diese Information vorliegt, geben wir Ihnen Auskunft über den Versandstatus.",Lieferstatus,Lieferstatus,1
160,2024-03-17,Haben Sie die Ersatzteile für die CNCF-500 wieder vorrätig? Wir hatten letztes Mal Probleme mit der Lieferzeit beim Gehäuse.,"Guten Tag, vielen Dank für Ihre Rückmeldung. Um den aktuellen Lagerstatus der gewünschten Teile für Ihre CNCF-500 zu prüfen, benötigen wir bitte die genaue Artikelnummer oder die Bezeichnung der Gehäuseteile sowie die Seriennummer Ihrer Maschine.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
161,2024-03-17,"Sehr geehrte Damen und Herren, unsere CNCF-500 zeigt seit heute Morgen beim Anlauf eine Warnung bezüglich der Spindeltemperatur an. Wir benötigen dringend Unterstützung, um den Produktionsstopp zu vermeiden. Mit freundlichen Grüßen, Produktionstechnik GmbH.","Guten Tag. Dass die Produktion unterbrochen ist, bedauern wir sehr. Bitte prüfen Sie als ersten Schritt, ob die Lüftungsschlitze der Spindel frei von Staub oder Spänen sind und die Kühlmittelzirkulation einwandfrei läuft. Sollte der Fehler bestehen bleiben, senden Sie uns bitte die genaue Fehlernummer des Displays sowie die Seriennummer Ihrer CNCF-500 zu, damit wir die Diagnose vertiefen können.",Technische Fehlermeldung,Technische Fehlermeldung,0.95
162,2024-03-18,"bitte Rechnungsadr ändern auf: Neuer Markt 1, 10117 Berlin. Betrifft die Maschinen vom letzten Monat.","Guten Tag. Gerne ändern wir die Rechnungsadresse für Sie. Damit wir die betreffenden Rechnungen der letzten Monat korrekt identifizieren können, benötigen wir bitte die Rechnungsnummern oder zumindest die Seriennummern der gelieferten Maschinen.",Sonstiges,Sonstiges,1
163,2024-03-19,Brauche Wartungsplan für CNCF-500. Schick mal.,"Guten Tag, um Ihnen den korrekten Wartungsplan für Ihre CNCF-500 zukommen zu lassen, benötigen wir bitte die Seriennummer der Maschine. Ohne diese Information können wir nicht sicherstellen, dass der Plan zu Ihrer spezifischen Hardware-Konfiguration passt.",Wartung,Wartung,0.9
164,2024-03-19,Wartung FSL-300: Welche Intervalle gelten bei 3-Schicht-Betrieb?,"Guten Tag, bei einem 3-Schicht-Betrieb verkürzen sich die Wartungsintervalle im Vergleich zum Standardbetrieb, da die Betriebsstunden schneller erreicht werden. Bitte nennen Sie uns die Seriennummer Ihrer FSL-300, damit wir Ihnen die angepassten Intervalle für eine hohe Auslastung berechnen können.",Wartung,Wartung,0.95
165,2024-03-20,"Sehr geehrte Damen und Herren, wir haben seit heute Morgen massive Probleme mit unserer DM-500 Steuerung. Jedes Mal, wenn wir versuchen, eine DXF-Datei für den nächsten Auftrag zu laden, friert das gesamte System ein. Das ist für unseren Produktionsablauf extrem kritisch. Bitte um schnelle Rückmeldung.","Guten Tag. Es tut mir leid zu hören, dass die DM-500 aktuell Ihre Produktion einschränkt. Um die Ursache einzugrenzen, prüfen Sie bitte zunächst, ob die DXF-Dateien nach aktuellen Standards (R14 oder neuer) exportiert wurden. Damit wir den Fehler technisch analysieren können, benötigen wir zudem die genaue Softwareversion sowie die Seriennummer Ihrer Steuerungseinheit.",Software-Problem,Software-Problem,0.85
166,2024-03-20,"Moin, wir müssen an der SNU-200 mal wieder ran. Haben wir für den Service eigentlich das Spezialwerkzeug Set (Art.-Nr. 99-X) im Lieferumfang dabei gehabt oder müssen wir das extra bestellen? Danke.","Moin, das Spezialwerkzeug-Set für die SNU-200 ist standardmäßig nicht im Lieferumfang enthalten, sondern wird als separates Wartungskit geführt. Bitte prüfen Sie in Ihren Lieferunterlagen, ob die Artikelnummer 99-X bereits bestellt wurde. Falls nicht, kann ich Ihnen gerne ein Angebot für das Set erstellen, sobald Sie mir die Seriennummer Ihrer Maschine nennen.",Wartung,Ersatzteil-Anfrage,0.7
167,2024-03-21,Wann kommt die SCS-100? Die Lieferung war eigentlich für gestern geplant. Das ist sehr ärgerlich.,"Guten Tag. Wir bedauern die entstandenen Unannehmlichkeiten durch die Verzögerung der SCS-100 sehr. Damit ich die genaue Ursache und den neuen Lieferzeitpunkt klären kann, benötige ich bitte Ihre Bestellnummer. Ich werde mich nach Erhalt der Information sofort bei Ihnen zurückmelden.",Lieferstatus,Lieferstatus,0.95
168,2024-03-21,Lieferstatus FSL-300 (Bestellung 44556) - bitte prüfen.,"Guten Tag. Vielen Dank für die Angabe Ihrer Bestellnummer 44556. Wir haben die Anfrage zur FSL-300 an unsere Logistikabteilung weitergeleitet und prüfen den aktuellen Versandstatus. Wir melden uns bei Ihnen, sobald uns neue Informationen vorliegen.",Lieferstatus,Lieferstatus,1
169,2024-03-21,Haben Sie ein Formular für Garantieansprüche bei der SCS-100? Das Teil geht nicht mehr an.,"Guten Tag. Ein separates Formular ist nicht erforderlich. Bitte senden Sie uns eine E-Mail mit der Seriennummer der SCS-100, der Bestellnummer und einer kurzen Fehlerbeschreibung. Wir erstellen daraufhin einen Reklamationsfall und prüfen die Garantieabdeckung für Sie.",Garantie-Reklamation,Garantie-Reklamation,0.9
170,2024-03-22,Software crash bei SNU-200. DXF import fail. bitte hilfe!,"Hallo. Damit wir Ihnen bei der SNU-200 gezielt helfen können, benötigen wir bitte die Seriennummer der Maschine sowie eine Beschreibung, ob der Absturz bei allen Dateien oder nur bei bestimmten Formaten auftritt.",Software-Problem,Software-Problem,1
171,2024-03-23,SCS-100? Bestellung 100293. Versandstatus fehlt.,"Guten Tag, vielen Dank für Ihre Anfrage. Ich habe den Status der Bestellung 100293 geprüft. Die SCS-100 wurde bereits versendet. Die Sendungsverfolgung kann über die Ihnen zugesandte Versandbestätigung eingesehen werden. Sollten Sie diese E-Mail nicht erhalten haben, lassen Sie es mich bitte wissen.",Lieferstatus,Lieferstatus,1
172,2024-03-23,Haben Sie die HP-150 schon verschickt? Ich sehe im Portal nichts.,"Guten Tag, ich prüfe das gerne für Sie. Da unser Portal verschiedene Lieferstatus anzeigt, benötige ich bitte Ihre Bestellnummer, um den genauen Status der HP-150 in der Logistik zu verifizieren. Vielen Dank für Ihre Mithilfe.",Lieferstatus,Lieferstatus,1
173,2024-03-23,Haben Sie die HP-150 schon rausgeschickt? Wir warten hier vergeblich.,"Guten Tag, um Ihr Anliegen schnellstmöglich bearbeiten zu können, benötigen wir bitte die Bestellnummer oder die Artikelnummer der HP-150. Ohne diese Angaben können wir den Status in unserem System leider nicht abrufen.",Lieferstatus,Lieferstatus,1
174,2024-03-23,"Moin, wir brauchen für die CNCF-500 neue Schutzkappen (Art. Nr. 88-21). Wie lange dauert die Lieferung aktuell?","Guten Tag, vielen Dank für Ihre Anfrage. Wir prüfen gerne die aktuelle Lieferzeit für die Schutzkappen mit der Artikelnummer 88-21 für die CNCF-500. Wir melden uns zeitnah bei Ihnen mit einer Rückmeldung zur Verfügbarkeit.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,0.95
175,2024-03-23,REKLAMATION: SNU-200 defekt. Sensor liefert falsche Werte. Seriennummer 99283-X. Bitte um schnellen Austausch!,Guten Tag. Wir haben Ihre Meldung zum Sensor der SNU-200 erhalten. Wir werden den Defekt im Rahmen der Garantiebedingungen prüfen. Bitte senden Sie uns vorab ein Foto des Displays oder ein Logfile der Fehlermeldung zu. Nach der technischen Prüfung werden wir Sie über die nächsten Schritte informieren.,Garantie-Reklamation,Garantie-Reklamation,0.9
176,2024-03-24,"Hallo, wir haben ein Problem mit der SNU-200. Da leuchtet ständig eine Warnung wegen eines Sensors auf. Ich weiß nicht genau, welcher es ist. Können Sie helfen?","Guten Tag. Um Ihnen gezielt weiterhelfen zu können, benötigen wir die genaue Bezeichnung oder die Nummer der Warnmeldung, die auf dem Bedienpanel erscheint. Bitte lassen Sie uns zudem die Seriennummer der SNU-200 zukommen, damit wir die entsprechende Dokumentation aufrufen können.",Technische Fehlermeldung,Technische Fehlermeldung,0.9
177,2024-03-24,"Hallo Support-Team, wir haben Probleme mit der HP-150. Software macht schlapp bei DXF-Files. Version ist irgendwie alt, weiß nicht genau. Können wir einfach updaten?","Hallo. Ein Update kann das Problem lösen, wir müssen jedoch sicherstellen, dass Ihre Hardware mit der neuen Version kompatibel ist. Damit ich prüfen kann, welche Version für Ihre HP-150 (Art.-Nr. falls bekannt) die richtige ist, senden Sie uns bitte die aktuelle Softwareversion und die Seriennummer der Maschine zu.",Software-Problem,Software-Problem,1
178,2024-03-24,"Hallo, suchen Sie noch Praktikanten? Wir haben einen Studenten im letzten Semester, der sich sehr für CNC-Technik interessiert.","Guten Tag, vielen Dank für Ihr Interesse an einer Zusammenarbeit. Wir führen regelmäßig Praktika in unseren technischen Abteilungen durch. Bitte senden Sie uns die Bewerbungsunterlagen sowie einen kurzen Lebenslauf des Studenten an unsere Personalabteilung. Eine Rückmeldung erfolgt nach Sichtung der Unterlagen.",Sonstiges,Sonstiges,1
179,2024-03-25,"Guten Tag, ich brauche ein Angebot über einen Antriebsriemen für die DM-500. Die Maschine ist Baujahr 2019.","Guten Tag, vielen Dank für Ihre Anfrage. Um den korrekten Antriebsriemen für Ihre DM-500 aus dem Jahr 2019 zu ermitteln, benötigen wir bitte noch die Seriennummer der Maschine. Diese finden Sie auf dem Typenschild am Maschinenrahmen. Nach Erhalt der Nummer senden wir Ihnen das Angebot umgehend zu.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
180,2024-03-26,Wo bleibt die DM-500? Keine Versandmail bekommen.,"Guten Tag, ich schaue gerne für Sie nach dem Status der DM-500. Um die Sendung in unserem System zu finden, geben Sie mir bitte kurz Ihre Bestellnummer oder die Kundennummer durch. Vielen Dank.",Lieferstatus,Lieferstatus,1
181,2024-03-26,"Haben Sie die Ersatzteilnummer 778-Q für die CNCF-500 da? Wenn ja, wie lange dauert der Versand?","Guten Tag, wir prüfen gerne den Lagerbestand des Artikels 778-Q für die CNCF-500. Bitte nennen Sie uns zur Sicherheit noch die Seriennummer Ihrer Maschine, um sicherzustellen, dass es sich um die korrekte Revision handelt.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
182,2024-03-26,Hydraulik-Warnung bei SNU-200. Druck schwankt extrem. Hilfe!,"Guten Tag. Bitte prüfen Sie, ob die Filter im Hydraulikkreislauf verschmutzt sind oder ob ein Leck im System vorliegt. Für eine tiefergehende Analyse benötigen wir die Seriennummer der SNU-200 und die genauen Druckwerte, die im Systemprotokoll angezeigt werden.",Technische Fehlermeldung,Technische Fehlermeldung,1
183,2024-03-26,"Hallo, bei der SNU-200 ist die Hydraulik undicht. Das Teil ist noch innerhalb der Garantiefrist. Was ist der nächste Schritt?","Guten Tag, vielen Dank für Ihre Nachricht. Bitte senden Sie uns ein Foto der Leckage sowie die Seriennummer der SNU-200 zu. Wir werden die Meldung umgehend prüfen und Ihnen mitteilen, ob eine Reparatur vor Ort oder ein Rückversand zur Garantieabwicklung notwendig ist.",Garantie-Reklamation,Garantie-Reklamation,1
184,2024-03-26,"Guten Tag, wir sind auf der Messe in Frankfurt auf Ihren Stand gestoßen und würden uns freuen, wenn Sie uns zu kommenden Fachveranstaltungen einladen könnten.","Sehr geehrte Damen und Herren, vielen Dank für Ihr Interesse an unseren Präsentationen. Wir haben Ihre Anfrage notiert. Gerne lassen wir Ihnen bei anstehenden Terminen oder Messeeinladungen Informationsmaterial zukommen. Bitte hinterlassen Sie uns für unsere Datenbank Ihre E-Mail-Adresse und den bevorzugten Fachbereich.",Sonstiges,Sonstiges,1
185,2024-03-26,"Sehr geehrte ENDI-Support-Abteilung, aufgrund eines Umzugs ist unsere neue Rechnungsanschrift nun die Hafenstraße 1, 20457 Hamburg. Bitte berücksichtigen Sie dies bei kommenden Fakturen.","Guten Tag. Wir aktualisieren gerne Ihre Daten. Damit wir die Änderung korrekt Ihrem Kundenkonto zuordnen können, bitten wir um Mitteilung Ihrer Kundennummer oder einer Referenznummer.",Sonstiges,Sonstiges,1
186,2024-03-27,Wann wird die HP-150 geliefert? Haben bisher keine Infos bekommen.,"Guten Tag, gerne informiere ich Sie über den Lieferstatus der HP-150. Bitte lassen Sie mir zur Identifizierung des Vorgangs Ihre Bestellnummer oder die Kundenkontonummer zukommen. Vielen Dank.",Lieferstatus,Lieferstatus,1
187,2024-03-27,kaputte FSL-300. Seriennr nicht zur hand. hilft das wenn ich nur die Rechnungsnr sage? Rechnung 44552,"Guten Tag. Die Rechnungsnummer hilft uns bei der Zuordnung, für die technische Reklamationsprüfung ist jedoch die Seriennummer der FSL-300 zwingend erforderlich. Bitte suchen Sie diese auf dem Typenschild der Maschine und lassen Sie uns diese sowie eine Fehlerbeschreibung zukommen.",Garantie-Reklamation,Technische Fehlermeldung,0.8
188,2024-03-28,"Wir benötigen für unsere FSL-300 eine neue Steuerplatine. Können Sie uns sagen, was das kostet und ob Sie das auf Lager haben?","Guten Tag, wir prüfen gerne die Verfügbarkeit und die Kosten für die Steuerplatine Ihrer FSL-300. Bitte teilen Sie uns hierzu die Seriennummer der Maschine sowie die genaue Artikelnummer der Platine mit, damit wir Ihnen ein korrektes Angebot unterbreiten können.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
189,2024-04-01,"Guten Tag, bei der SCS-100 ist ein Druckabfall im System zu verzeichnen (Warnung ID: 882). Können Sie uns hier weiterhelfen?",Guten Tag. Vielen Dank für Ihre Nachricht. Bitte führen Sie eine Sichtprüfung der Schläuche und Ventile auf Leckagen durch. Weitere technische Details und die korrekte Vorgehensweise zur Druckprüfung finden Sie in Ihrem Handbuch im Downloadbereich. Bitte nennen Sie uns für die weitere Unterstützung die Seriennummer des Geräts.,Technische Fehlermeldung,Technische Fehlermeldung,1
190,2024-04-02,Wir haben Probleme mit dem Software-Update auf unserer DM-500. Die Installation verhakt sich ständig. Bestellnummer 77210.,"Guten Tag. Vielen Dank für die Angabe Ihrer Bestellnummer. Um den Installationsfehler bei der DM-500 zu untersuchen, benötigen wir bitte die Seriennummer der Maschine sowie die aktuelle Softwareversion. Bitte stellen Sie sicher, dass keine anderen Programme während des Updates im Hintergrund aktiv sind.",Software-Problem,Software-Problem,1
191,2024-04-02,DM-500 Wartung – welche Teile müssen getauscht werden? (Bestellnr 4455-A),Guten Tag. Die zu ersetzenden Verschleißteile hängen von der Laufzeit und den Betriebsparametern ab. Eine Übersicht der regelmäßig zu tauschenden Komponenten finden Sie in der Wartungsliste Ihrer DM-500 im Downloadbereich. Für eine spezifische Materialbestellung benötigen wir bitte zusätzlich die Seriennummer Ihrer Maschine.,Wartung,Wartung,1
192,2024-04-02,Haben Sie auch Online-Kurse für die SNU-200? Unsere Mitarbeiter sind viel unterwegs.,"Guten Tag. Ja, wir bieten für die SNU-200 auch digitale Trainingsmodule an, die flexibel genutzt werden können. Bitte nennen Sie uns die Seriennummer Ihrer Maschine und die gewünschte Softwareversion, damit wir prüfen können, welche digitalen Inhalte für Ihr Modell verfügbar sind.",Schulung,Schulung,1
193,2024-04-04,Status Lieferung SCS-100? Best.Nr 5521,"Guten Tag, wir haben die Bestellung 5521 geprüft. Die SCS-100 ist aktuell in der Qualitätskontrolle. Der voraussichtliche Versand erfolgt am Freitag. Wir informieren Sie, sobald die Maschine das Werk verlässt.",Lieferstatus,Lieferstatus,1
194,2024-04-04,Haben Sie die Wicklung für den Motor der CNCF-500 vorrätig? Brauche dringend ein Angebot.,"Guten Tag. Um die korrekte Motorwicklung für Ihre CNCF-500 zu identifizieren, benötigen wir bitte die Typenbezeichnung des Motors oder die Seriennummer der Maschine. Sobald uns diese vorliegt, senden wir Ihnen ein Angebot und die Information zur Verfügbarkeit.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
195,2024-04-04,DXF Import geht nicht. Software macht schlapp. SNU-200. Was nun?,"Guten Tag, um die Ursache für den Abbruch beim Import zu finden, benötigen wir die Seriennummer Ihrer SNU-200 sowie die installierte Softwareversion. Bitte prüfen Sie zudem, ob die Datei keine Sonderzeichen im Dateinamen enthält, da dies oft zu Fehlern führt.",Software-Problem,Software-Problem,1
196,2024-04-05,Druck zu hoch bei FSL-300. Art-Nr 8829-X. Maschine steht. Bitte schnell antworten.,"Guten Tag, vielen Dank für Ihre Information. Ein zu hoher Druck kann verschiedene Ursachen haben, unter anderem ein defektes Druckbegrenzungsventil. Bitte stellen Sie sicher, dass die Maschine im sicheren Zustand heruntergefahren wird. Damit wir die technische Prüfung einleiten können, benötigen wir zusätzlich zur Artikelnummer bitte noch die Seriennummer der betroffenen FSL-300. Wir werden Ihnen nach Erhalt der Daten die nächsten Schritte zur Druckentlastung und Fehlerdiagnose mitteilen.",Technische Fehlermeldung,Technische Fehlermeldung,0.9
197,2024-04-05,"Moin, bei unserer FSL-300 geht der DXF-Import nimmer. Geht nur noch Fehlermeldung 'Format nicht unterstützt'. Haben wir ein Update verpasst?","Moin, das kann vorkommen, wenn die Datei in einem zu neuen CAD-Standard gespeichert wurde. Bitte prüfen Sie im Handbuch im Downloadbereich die kompatiblen DXF-Versionen. Könnten Sie uns zudem die aktuelle Softwareversion Ihrer FSL-300 mitteilen, damit wir prüfen, ob ein Update für Sie bereitsteht?",Software-Problem,Software-Problem,0.95
198,2024-04-06,Wir benötigen für die DM-500 ein neues Bedienpanel. Bitte um Angebot inkl. Versandkosten nach München. Best.-Nr. 9920-X.,Guten Tag. Gerne erstellen wir Ihnen ein Angebot für das Bedienpanel der DM-500 (Best.-Nr. 9920-X) inklusive der Versandkosten nach München. Wir melden uns in Kürze bei Ihnen.,Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
199,2024-04-07,Betreff: Fehlende Versandbestätigung für HP-150. Bestellung vom 05.05. Bitte um Status.,"Guten Tag. Vielen Dank für Ihre Nachricht. Leider ist in Ihrer Anfrage keine Bestellnummer enthalten. Bitte ergänzen Sie diese, damit wir die HP-150 in unserem System finden und den Versandstatus sowie die hinterlegte E-Mail-Adresse für die Bestätigung prüfen können.",Lieferstatus,Lieferstatus,1
200,2024-04-08,DXF Import geht nicht mehr auf der HP-150. Software bricht ab. Schlägt fehl. Bitte um Rückmeldung.,"Hallo, um das Problem zu lösen, benötigen wir weitere Details: Erhalten Sie eine spezifische Fehlermeldung beim Import oder stürzt das System komplett ab? Bitte nennen Sie uns auch die Seriennummer Ihrer HP-150 und die Softwareversion.",Software-Problem,Software-Problem,1
201,2024-04-10,Status Lieferung SNU-200??,"Guten Tag, gerne prüfe ich den Lieferstatus Ihrer SNU-200. Bitte nennen Sie mir hierfür Ihre Bestellnummer oder die Seriennummer der Maschine, damit ich den Versandstatus in unserem Logistiksystem abrufen kann.",Lieferstatus,Lieferstatus,1
202,2024-04-10,Fehlende Versandbestätigung für SNU-200 (Art.-Nr. 55-SNU). Bitte prüfen.,"Guten Tag, vielen Dank für Ihren Hinweis. Wir haben die Bestellung der SNU-200 geprüft. Der Versand wurde bereits eingeleitet, jedoch gab es ein technisches Problem bei der automatischen Benachrichtigung. Wir senden Ihnen die Bestätigung inklusive aller Versanddetails hiermit manuell zu.",Lieferstatus,Lieferstatus,0.9
203,2024-04-10,"Haben Sie Infos zu den Intervallen der HP-150? Wir wissen nicht, wann der nächste Service ansteht. Bestellung ENDI-44552.","Guten Tag. Vielen Dank für die Angabe der Bestellnummer ENDI-44552. Die Intervalle für Ihre HP-150 sind in der technischen Dokumentation im Downloadbereich aufgeführt. Dort finden Sie eine Übersicht, die sich nach den kumulierten Betriebsstunden richtet.",Wartung,Wartung,0.95
204,2024-04-10,Brauche Hilfe bei Wartung HP-150. Welche Werkzeuge? Unwissend.,"Guten Tag. Für die Wartung der HP-150 ist ein spezifisches Werkzeugset erforderlich. Eine detaillierte Auflistung der benötigten Instrumente und deren Artikelnummern finden Sie in der Wartungsanleitung im Downloadbereich. Sollten Sie Schwierigkeiten beim Download haben, lassen Sie uns bitte die Seriennummer Ihrer Maschine zukommen.",Wartung,Wartung,1
205,2024-04-11,Ist die Steuereinheit für SNU-200 (Seriennr. 2022-ABC) lieferbar? Wir brauchen die dringend!,"Guten Tag, vielen Dank für die Angabe der Seriennummer. Wir prüfen die Verfügbarkeit der Steuereinheit für Ihre SNU-200 sofort und informieren Sie über den aktuellen Lagerstatus sowie die schnellstmögliche Lieferzeit.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,0.85
206,2024-04-11,Fehler bei DM-500. Druck zu niedrig. Was tun?,Guten Tag. Bitte prüfen Sie umgehend den Stand des Hydrauliköls im Ausgleichsbehälter sowie die Integrität der Schlauchverbindungen auf Leckagen. Für eine detaillierte Diagnose senden Sie uns bitte die Seriennummer der DM-500 und die genaue Fehlernummer aus dem Logbuch zu.,Technische Fehlermeldung,Technische Fehlermeldung,1
207,2024-04-11,Servicewartung HP-150. Können wir das selbst machen oder brauchen wir Techniker?,"Guten Tag, die einfachen Routinearbeiten (wie Reinigung und Schmierung) können von Ihrem Fachpersonal durchgeführt werden. Komplexe Arbeiten gemäß Wartungsplan erfordern jedoch aufgrund der Präzisionskomponenten einen zertifizierten ENDI-Techniker. Details entnehmen Sie bitte der Wartungsklasse in Ihrem Handbuch.",Wartung,Wartung,1
208,2024-04-11,Suchen Spezialwerkzeug für SNU-200. Haben die was Besonderes?,"Guten Tag. Ja, für die Wartung der SNU-200 ist die Verwendung von zertifiziertem Spezialwerkzeug erforderlich, um Schäden an den Präzisionsteilen zu vermeiden. Eine Liste dieser Werkzeuge inklusive der Artikelnummern finden Sie in der technischen Dokumentation im Downloadbereich.",Wartung,Ersatzteil-Anfrage,0.8
